Problem Size;2;4;8;16
1;1.656;2.297;1.725;4.500
2;0.059;0.378;0.699;0.279
3;0.722;0.035;0.037;0.364
4;0.110;0.054;0.918;0.051
5;0.097;0.089;0.089;1.054
6;0.420;0.162;0.168;0.296
7;0.445;0.312;0.299;0.774
8;0.565;0.726;0.650;1.107
9;1.055;1.087;0.964;0.893
10;1.892;1.810;1.793;1.823
11;3.770;3.847;3.869;3.870
12;7.665;7.742;7.551;7.621
13;17.816;18.352;17.753;18.018
14;48.008;74.121;93.178;55.256
15;162.338;215.851;226.443;196.925
