Problem Size;Sequential;Parallel
1;0.000;0.000
2;0.000;0.000
3;0.000;0.000
4;0.001;0.000
5;0.001;0.001
6;0.002;0.002
7;0.004;6.454
8;0.007;0.044
9;0.014;0.058
10;0.028;0.099
11;0.057;0.170
12;0.117;0.327
13;0.237;0.763
14;0.515;1.327
15;1.039;3.701
16;2.116;4.871
17;3.755;9.954
18;8.072;18.158
19;16.410;37.318
20;52.174;71.532
21;75.417;136.758
22;172.738;308.120
23;377.229;643.481
24;852.804;1481.917
