Problem Size;Sequential;Parallel
1;0.000;2.803
2;0.000;0.036
3;0.000;0.037
4;0.000;0.053
5;0.001;4.798
6;0.001;1.335
7;0.005;0.878
8;0.021;0.749
9;0.079;1.771
10;0.340;3.634
11;1.187;4.563
12;4.586;9.018
13;21.127;18.421
14;102.636;72.409
15;367.732;180.233
