Problem Size;Sequential;Parallel
1;0.000
2;0.000
3;0.000
4;0.001
5;0.001
6;0.002
7;2.358
8;0.047
9;0.574
10;0.101
11;0.178
12;0.306
13;0.574
14;1.097
15;2.239
16;4.479
17;9.344
18;18.079
19;40.507
20;72.004
